rank,state,pantai_share,x_exposure,y_stress,z_protection,tsri,tsri_0_1,lcc_note,state_canon
1,Pahang,0.2819672131147541,1.0,0.2664818181818182,0.04750436649712775,0.4063258172282301,0.7396591505615634,,Pahang
2,Kedah,0.39664804469273746,0.9073563314927033,0.23459722222222212,0.029259081815590175,0.37089815729977843,0.7042314906331117,,Kedah
3,Terengganu,0.545816733067729,0.9182175641755737,0.2859342391304348,0.25417177943566005,0.31666000795678284,0.6499933412901162,,Terengganu
4,Kelantan,0.17582417582417584,0.3676197095333015,0.5275000000000001,0.0,0.2983732365111005,0.6317065698444337,no LCC data: substituted (ZERO),Kelantan
5,Perak,0.1495601173020528,0.5000610165497137,0.370605,0.0,0.29022200551657124,0.6235553388499046,,Perak
6,Selangor,0.04265402843601896,0.14510451998850574,0.6358333333333334,0.0,0.2603126177739463,0.5936459511072796,no LCC data: substituted (ZERO),Selangor
7,Pulau Pinang,0.08300395256916997,0.15002689704648406,0.5926470588235294,0.0,0.24755798529000447,0.5808913186233378,no LCC data: substituted (ZERO),Penang
8,Johor,0.1350806451612903,0.42597662653454393,0.31370225779967165,0.1783211584459241,0.18711924196276383,0.5204525752960971,,Johor
9,W.P. Labuan,0.046511627906976744,0.0039840069130533855,0.604,0.051691251600275,0.18543091843759277,0.5187642517709261,no LCC data: substituted (ZERO),Labuan
10,Sabah,0.0593607305936073,0.14027091743720072,0.4109631205673759,0.11766119120136984,0.1445242822677356,0.4778576156010689,,Sabah
11,Negeri Sembilan,0.24375,0.5123722808599273,0.4579142857142857,0.5455692210659098,0.14157244850276773,0.47490578183610105,,Negeri Sembilan
12,Melaka,0.1270718232044199,0.2928812896558435,0.44490555555555555,0.6632550672285771,0.024843925994273985,0.3581772593276073,,Malacca
13,Sarawak,0.01282051282051282,0.026055473522097916,0.3744413043478261,0.34069737649542287,0.019933133791500385,0.35326646712483367,,Sarawak
