state,area,station,mmwqi_2021,mmwqi_2022,mmwqi_2023,mmwqi_2024,mmwqi_2025,pred_2026,pred_cat_2026,lower_95,upper_95,change_vs_2025,cat_2025,category_change
Kedah,Pantai Merdeka,MMKC001,85,88,91,92,88,88.6,Good,74.3,100.0,0.6,Good,same
Kedah,Langkawi Island Resort,MMKC002,94,94,96,95,96,95.1,Excellent,80.8,100.0,-0.9,Excellent,same
Kedah,Pantai Kok,MMKC003,90,83,95,96,96,93.1,Excellent,78.8,100.0,-2.9,Excellent,same
Kedah,Pantai Kuah,MMKC004,88,90,91,95,91,91.0,Excellent,76.7,100.0,0.0,Excellent,same
Kedah,Pantai Pasir Tengkorak,MMKC005,96,93,93,95,95,94.7,Excellent,80.4,100.0,-0.3,Excellent,same
Kedah,Pantai Teluk Burau,MMKC006,94,86,96,94,96,94.1,Excellent,79.8,100.0,-1.9,Excellent,same
Kedah,Pantai Teluk Nibong,MMKC007,86,92,95,96,96,93.0,Excellent,78.7,100.0,-3.0,Excellent,same
Kedah,Pantai Tengah,MMKC008,92,92,94,96,95,94.0,Excellent,79.7,100.0,-1.0,Excellent,same
Kedah,Pantai Beras Basah,MMKC009,92,96,96,96,95,94.7,Excellent,80.4,100.0,-0.3,Excellent,same
P. Pinang,Gertak Sanggul,MMPC001,81,83,94,91,88,87.3,Good,73.0,100.0,-0.7,Good,same
P. Pinang,Kawasan Perindustrian Bayan Lepas 1,MMPC002,72,60,79,67,84,74.3,Moderate,60.1,88.6,-9.7,Good,declining
P. Pinang,Pantai Bersih,MMPC003,75,86,73,84,81,79.5,Moderate,65.2,93.8,-1.5,Good,declining
P. Pinang,Pantai Miami,MMPC004,70,86,90,88,90,84.4,Good,70.1,98.7,-5.6,Excellent,declining
P. Pinang,Pantai Pasir Panjang,MMPC005,93,95,93,93,88,91.7,Excellent,77.4,100.0,3.7,Good,improving
P. Pinang,Batu Feringgi (Casuarina),MMPC006,83,82,93,85,86,85.7,Good,71.4,100.0,-0.3,Good,same
P. Pinang,Luar Pantai Teluk Bahang,MMPC007,81,88,94,91,94,89.6,Good,75.3,100.0,-4.4,Excellent,declining
P. Pinang,Persiaran Gurney,MMPC008,60,79,73,84,71,72.2,Moderate,57.9,86.5,1.2,Moderate,same
P. Pinang,Rumah Pam Baru Perai,MMPC009,68,76,88,83,81,78.8,Moderate,64.5,93.1,-2.2,Good,declining
P. Pinang,Rumah Pam Lama Perai,MMPC010,65,59,67,72,69,67.3,Moderate,53.1,81.6,-1.7,Moderate,same
P. Pinang,Selat PP Selatan (Jelutong),MMPC011,59,59,59,57,57,58.0,Moderate,43.7,72.3,1.0,Moderate,same
P. Pinang,Tanjung Bungah,MMPC012,67,72,90,80,89,80.2,Good,65.9,94.5,-8.8,Good,same
P. Pinang,Tanjung Bungah 2,MMPC013,70,63,69,87,76,74.5,Moderate,60.2,88.8,-1.5,Moderate,same
P. Pinang,Batu Maung 2,MMPC014,69,58,72,71,57,65.1,Moderate,50.8,79.4,8.1,Moderate,same
P. Pinang,Pantai Sungai Batu Ferringhi 3,MMPC015,86,92,92,91,90,89.7,Good,75.5,100.0,-0.3,Excellent,declining
P. Pinang,Pantai Sungai Batu Ferringhi 2,MMPC016,90,94,94,93,91,91.9,Excellent,77.6,100.0,0.9,Excellent,same
P. Pinang,Pantai Sungai Batu Ferringhi 1,MMPC017,91,91,92,91,93,91.7,Excellent,77.5,100.0,-1.3,Excellent,same
Perak,Pantai Pasir Bogak,MMAC001,95,94,92,95,95,94.5,Excellent,80.2,100.0,-0.5,Excellent,same
Perak,Pantai Teluk Dalam,MMAC002,94,92,93,95,91,93.0,Excellent,78.7,100.0,2.0,Excellent,same
Perak,Pantai Teluk Batik,MMAC003,78,89,92,95,95,89.9,Good,75.6,100.0,-5.1,Excellent,declining
Perak,Pantai Tanjung Batu,MMAC004,93,94,93,96,92,93.4,Excellent,79.1,100.0,1.4,Excellent,same
Perak,Pantai Teluk Rubiah,MMAC005,90,81,88,96,95,91.5,Excellent,77.2,100.0,-3.5,Excellent,same
Perak,Pantai Damai Laut,MMAC006,94,91,93,95,91,92.9,Excellent,78.6,100.0,1.9,Excellent,same
Perak,Pantai Teluk Senangin,MMAC007,90,93,95,95,92,92.7,Excellent,78.4,100.0,0.7,Excellent,same
Perak,Pantai Pasir Panjang,MMAC008,91,95,94,95,96,94.2,Excellent,79.9,100.0,-1.8,Excellent,same
Selangor,Pantai Bagan Lalang,MMBC001,84,84,89,86,91,87.3,Good,73.0,100.0,-3.7,Excellent,declining
Selangor,Pantai Morib,MMBC002,68,84,88,85,72,77.4,Moderate,63.1,91.6,5.4,Moderate,same
Selangor,Selat Pulau Babi,MMBC003,87,91,95,89,71,84.2,Good,69.9,98.5,13.2,Moderate,improving
