state,area,station,year,mmwqi,kind,lower_95,upper_95,category,state_canon
Kedah,Pantai Merdeka,MMKC001,2021,85.0,actual,,,Good,Kedah
Kedah,Langkawi Island Resort,MMKC002,2021,94.0,actual,,,Excellent,Kedah
Kedah,Pantai Kok,MMKC003,2021,90.0,actual,,,Excellent,Kedah
Kedah,Pantai Kuah,MMKC004,2021,88.0,actual,,,Good,Kedah
Kedah,Pantai Pasir Tengkorak,MMKC005,2021,96.0,actual,,,Excellent,Kedah
Kedah,Pantai Teluk Burau,MMKC006,2021,94.0,actual,,,Excellent,Kedah
Kedah,Pantai Teluk Nibong,MMKC007,2021,86.0,actual,,,Good,Kedah
Kedah,Pantai Tengah,MMKC008,2021,92.0,actual,,,Excellent,Kedah
Kedah,Pantai Beras Basah,MMKC009,2021,92.0,actual,,,Excellent,Kedah
P. Pinang,Gertak Sanggul,MMPC001,2021,81.0,actual,,,Good,Penang
P. Pinang,Kawasan Perindustrian Bayan Lepas 1,MMPC002,2021,72.0,actual,,,Moderate,Penang
P. Pinang,Pantai Bersih,MMPC003,2021,75.0,actual,,,Moderate,Penang
P. Pinang,Pantai Miami,MMPC004,2021,70.0,actual,,,Moderate,Penang
P. Pinang,Pantai Pasir Panjang,MMPC005,2021,93.0,actual,,,Excellent,Penang
P. Pinang,Batu Feringgi (Casuarina),MMPC006,2021,83.0,actual,,,Good,Penang
P. Pinang,Luar Pantai Teluk Bahang,MMPC007,2021,81.0,actual,,,Good,Penang
P. Pinang,Persiaran Gurney,MMPC008,2021,60.0,actual,,,Moderate,Penang
P. Pinang,Rumah Pam Baru Perai,MMPC009,2021,68.0,actual,,,Moderate,Penang
P. Pinang,Rumah Pam Lama Perai,MMPC010,2021,65.0,actual,,,Moderate,Penang
P. Pinang,Selat PP Selatan (Jelutong),MMPC011,2021,59.0,actual,,,Moderate,Penang
P. Pinang,Tanjung Bungah,MMPC012,2021,67.0,actual,,,Moderate,Penang
P. Pinang,Tanjung Bungah 2,MMPC013,2021,70.0,actual,,,Moderate,Penang
P. Pinang,Batu Maung 2,MMPC014,2021,69.0,actual,,,Moderate,Penang
P. Pinang,Pantai Sungai Batu Ferringhi 3,MMPC015,2021,86.0,actual,,,Good,Penang
P. Pinang,Pantai Sungai Batu Ferringhi 2,MMPC016,2021,90.0,actual,,,Excellent,Penang
P. Pinang,Pantai Sungai Batu Ferringhi 1,MMPC017,2021,91.0,actual,,,Excellent,Penang
Perak,Pantai Pasir Bogak,MMAC001,2021,95.0,actual,,,Excellent,Perak
Perak,Pantai Teluk Dalam,MMAC002,2021,94.0,actual,,,Excellent,Perak
Perak,Pantai Teluk Batik,MMAC003,2021,78.0,actual,,,Moderate,Perak
Perak,Pantai Tanjung Batu,MMAC004,2021,93.0,actual,,,Excellent,Perak
Perak,Pantai Teluk Rubiah,MMAC005,2021,90.0,actual,,,Excellent,Perak
Perak,Pantai Damai Laut,MMAC006,2021,94.0,actual,,,Excellent,Perak
Perak,Pantai Teluk Senangin,MMAC007,2021,90.0,actual,,,Excellent,Perak
Perak,Pantai Pasir Panjang,MMAC008,2021,91.0,actual,,,Excellent,Perak
Selangor,Pantai Bagan Lalang,MMBC001,2021,84.0,actual,,,Good,Selangor
