station,state,area,lat,lon,match,query_used
MMKC001,Kedah,Pantai Merdeka,5.6679342,100.3688798,"Pantai Merdeka, K14, Kampong Bukit Kechil, Kampung Bagan Ulu, Kuala Muda, Kedah, 08110, Malaysia","Pantai Merdeka, Kedah, Malaysia"
MMKC002,Kedah,Langkawi Island Resort,6.2757253,99.734134,"Royale Chenang Resort, 735c, Jalan Pantai Tengah, Pantai Tengah, Langkawi, Kedah, 07100, Malaysia",Langkawi Island Resort
MMKC003,Kedah,Pantai Kok,6.364685,99.6834089,"Pantai Kok, Langkawi, Kedah, Malaysia","Pantai Kok, Kedah, Malaysia"
MMKC004,Kedah,Pantai Kuah,6.296145,99.8618787,"Pantai Beringin, Kuah, Langkawi, Kedah, Malaysia","Pantai Kuah, Kedah, Malaysia"
MMKC005,Kedah,Pantai Pasir Tengkorak,,,,"Pantai Pasir Tengkorak, Malaysia"
MMKC006,Kedah,Pantai Teluk Burau,,,,"Pantai Teluk Burau, Malaysia"
MMKC007,Kedah,Pantai Teluk Nibong,6.3601023,99.7030568,"Pantai Teluk Nibong, Kuala Teriang, Langkawi, Kedah, Malaysia","Pantai Teluk Nibong, Kedah, Malaysia"
MMKC008,Kedah,Pantai Tengah,6.2814791,99.7304458,"Pantai Tengah, Langkawi, Kedah, Malaysia","Pantai Tengah, Kedah, Malaysia"
MMKC009,Kedah,Pantai Beras Basah,,,ERROR: <urlopen error [SSL: UNEXPECTED_MESSAGE] unexpected message (_ssl.c:1028)>,"Pantai Beras Basah, Malaysia"
MMPC001,P. Pinang,Gertak Sanggul,5.2831908,100.1946564,"Gertak Sanggul, Barat Daya, George Town, Pulau Pinang, 11910, Malaysia","Gertak Sanggul, Penang, Malaysia"
MMPC002,P. Pinang,Kawasan Perindustrian Bayan Lepas 1,,,,"Kawasan Perindustrian Bayan Lepas 1, Malaysia"
MMPC003,P. Pinang,Pantai Bersih,5.4390164,100.3781859,"Pantai Bersih, Bagan Ajam, Bandar Butterworth, Seberang Perai Utara, Seberang Perai, Pulau Pinang, Malaysia","Pantai Bersih, Penang, Malaysia"
MMPC004,P. Pinang,Pantai Miami,5.4784136,100.2684243,"Pantai Miami, Batu Feringgi, Timur Laut, George Town, Pulau Pinang, 11100, Malaysia","Pantai Miami, Penang, Malaysia"
MMPC005,P. Pinang,Pantai Pasir Panjang,5.2973466,100.184422,"Pantai Pasir Panjang, Gertak Sanggul, Barat Daya, George Town, Pulau Pinang, Malaysia","Pantai Pasir Panjang, Penang, Malaysia"
MMPC006,P. Pinang,Batu Feringgi (Casuarina),,,,"Batu Feringgi (Casuarina), Malaysia"
MMPC007,P. Pinang,Luar Pantai Teluk Bahang,,,,"Luar Pantai Teluk Bahang, Malaysia"
MMPC008,P. Pinang,Persiaran Gurney,5.4405669,100.3086373,"Persiaran Gurney, Pulau Tikus, Central George Town, Timur Laut, George Town, Pulau Pinang, 10250, Malaysia","Persiaran Gurney, Penang, Malaysia"
MMPC009,P. Pinang,Rumah Pam Baru Perai,,,,"Rumah Pam Baru Perai, Malaysia"
MMPC010,P. Pinang,Rumah Pam Lama Perai,,,,"Rumah Pam Lama Perai, Malaysia"
MMPC011,P. Pinang,Selat PP Selatan (Jelutong),,,,"Selat PP Selatan (Jelutong), Malaysia"
MMPC012,P. Pinang,Tanjung Bungah,5.4647757,100.284463,"Tanjong Bungah, Timur Laut, George Town, Pulau Pinang, 11200, Malaysia","Tanjung Bungah, Penang, Malaysia"
MMPC013,P. Pinang,Tanjung Bungah 2,5.4577252,100.2815577,"Tenby Schools Penang, 2, Lintang Lembah Permai 1, Mukim 18, Timur Laut, George Town, Pulau Pinang, 11200, Malaysia","Tanjung Bungah 2, Penang, Malaysia"
MMPC014,P. Pinang,Batu Maung 2,5.2863962,100.282159,"2, Lilitan Batu Maung, Taman Iping (Taman Batu Maung), Batu Maung, Barat Daya, George Town, Pulau Pinang, 11960, Malaysia","Batu Maung 2, Penang, Malaysia"
MMPC015,P. Pinang,Pantai Sungai Batu Ferringhi 3,,,,"Pantai Sungai Batu Ferringhi 3, Malaysia"
MMPC016,P. Pinang,Pantai Sungai Batu Ferringhi 2,,,,"Pantai Sungai Batu Ferringhi 2, Malaysia"
MMPC017,P. Pinang,Pantai Sungai Batu Ferringhi 1,,,,"Pantai Sungai Batu Ferringhi 1, Malaysia"
MMAC001,Perak,Pantai Pasir Bogak,4.2103744,100.5571362,"Pantai Pasir Bogak, Pulau Pangkor, Manjung, Perak, 32300, Malaysia","Pantai Pasir Bogak, Perak, Malaysia"
MMAC002,Perak,Pantai Teluk Dalam,4.2525144,100.5461023,"Pantai Puteri Dewi (private), Teluk Dalam, Manjung, Perak, 32300, Malaysia","Pantai Teluk Dalam, Perak, Malaysia"
MMAC003,Perak,Pantai Teluk Batik,4.1869863,100.6079114,"Pantai Teluk Batik, Lumut, Manjung, Perak, Malaysia","Pantai Teluk Batik, Perak, Malaysia"
MMAC004,Perak,Pantai Tanjung Batu,5.472798,100.2453564,"Pantai Batu Feringgi, Batu Feringgi, Timur Laut, George Town, Pulau Pinang, 11100, Malaysia","Pantai Tanjung Batu, Malaysia"
MMAC005,Perak,Pantai Teluk Rubiah,,,,"Pantai Teluk Rubiah, Malaysia"
MMAC006,Perak,Pantai Damai Laut,,,,"Pantai Damai Laut, Malaysia"
MMAC007,Perak,Pantai Teluk Senangin,4.3049791,100.5781114,"Pantai Teluk Senangin, Lumut, Manjung, Perak, 32200, Malaysia","Pantai Teluk Senangin, Perak, Malaysia"
MMAC008,Perak,Pantai Pasir Panjang,1.6924088,110.3046059,"Pantai Pasir Panjang, Petra Jaya, Kampung Pasir Pandak, Kuching, Bahagian Kuching, Sarawak, Malaysia","Pantai Pasir Panjang, Malaysia"
MMBC001,Selangor,Pantai Bagan Lalang,2.6061365,101.687697,"Pantai Bagan Lalang, Bagan Lalang, Sepang, Selangor, Malaysia","Pantai Bagan Lalang, Selangor, Malaysia"
MMBC002,Selangor,Pantai Morib,2.7541244,101.4408708,"Pantai Morib, Morib, Banting, Kuala Langat, Selangor, Malaysia","Pantai Morib, Selangor, Malaysia"
MMBC003,Selangor,Selat Pulau Babi,,,,"Selat Pulau Babi, Malaysia"
MMBC004,Selangor,Selat Klang Utara,3.0091287,101.3736914,"Kawasan Perindustrian Selat Klang Utara, Pelabuhan Klang, Bandaraya Klang, Klang, Selangor, Malaysia","Selat Klang Utara, Selangor, Malaysia"
MMBC005,Selangor,Pantai Remis,3.2001649,101.3057717,"Pantai Remis, Sungai Sembilang, Kuala Selangor, Selangor, Malaysia","Pantai Remis, Selangor, Malaysia"
MMBC006,Selangor,Pantai Klanang,,,,"Pantai Klanang, Malaysia"
MMNC001,N. Sembilan,Bagan Pinang,2.5036076,101.8366923,"Hotel Seri Malaysia, Jalan Pantai, Taman Eastern, Si Rusa, Port Dickson, Negeri Sembilan, 71050, Malaysia","Bagan Pinang, Negeri Sembilan, Malaysia"
MMNC002,N. Sembilan,Telok Sinting,,,,"Telok Sinting, Malaysia"
MMNC003,N. Sembilan,Port Dickson Bandar,2.5609034,101.8098007,"Pos Malaysia, Tesco Lukut, Pusat Perniagaan Lukut Prima, Bandar Dataran Segar, Port Dickson, Negeri Sembilan, 71010, Malaysia","Port Dickson Bandar, Negeri Sembilan, Malaysia"
MMNC004,N. Sembilan,Port Dickson Batu 4,2.5262491,101.8106156,"Port Dickson, Negeri Sembilan, 71000, Malaysia","Port Dickson Batu 4, Negeri Sembilan, Malaysia"
MMNC005,N. Sembilan,Port Dickson Batu 5,2.5262491,101.8106156,"Port Dickson, Negeri Sembilan, 71000, Malaysia","Port Dickson Batu 5, Negeri Sembilan, Malaysia"
MMNC006,N. Sembilan,Port Dickson Batu 6,2.5262491,101.8106156,"Port Dickson, Negeri Sembilan, 71000, Malaysia","Port Dickson Batu 6, Negeri Sembilan, Malaysia"
MMNC007,N. Sembilan,Port Dickson Batu 7,2.5262491,101.8106156,"Port Dickson, Negeri Sembilan, 71000, Malaysia","Port Dickson Batu 7, Negeri Sembilan, Malaysia"
MMNC008,N. Sembilan,Port Dickson Batu 8,2.5262491,101.8106156,"Port Dickson, Negeri Sembilan, 71000, Malaysia","Port Dickson Batu 8, Negeri Sembilan, Malaysia"
MMNC009,N. Sembilan,Port Dickson Batu 10,2.4206838,101.8663432,"Port Dickson Methodist Centre, Jalan Pantai, Batu 10, Kampung Segenting, Port Dickson, Negeri Sembilan, 71050, Malaysia","Port Dickson Batu 10, Negeri Sembilan, Malaysia"
MMNC010,N. Sembilan,Port Dickson Janakuasa TNB,,,,"Port Dickson Janakuasa TNB, Malaysia"
MMNC011,N. Sembilan,Telok Pelanduk,2.4188245,101.8925176,"Akademi Imigresen Malaysia, Jalan Kampung Telok Pelandok, Taman Green View, Teluk Pelanduk, Port Dickson, Negeri Sembilan, 71050, Malaysia","Telok Pelanduk, Negeri Sembilan, Malaysia"
MMNC012,N. Sembilan,Pantai Cermin,2.4162147,101.8605396,"Pantai Cermin, Teluk Pelanduk, Port Dickson, Negeri Sembilan, Malaysia","Pantai Cermin, Negeri Sembilan, Malaysia"
MMNC013,N. Sembilan,Pantai Teluk Kemang,2.4535662,101.8554244,"Pantai Teluk Kemang, Teluk Kemang, Port Dickson, Negeri Sembilan, Malaysia","Pantai Teluk Kemang, Negeri Sembilan, Malaysia"
MMNC014,N. Sembilan,Pantai Seri Purnama,,,,"Pantai Seri Purnama, Malaysia"
MMMC001,Melaka,Pantai Rombang,2.2364946,102.1450594,"Masjid Pantai Rombang, Jalan Tanjung Kling, Pantai Puteri, Tanjung Kling, Melaka Tengah, Melaka, 76400, Malaysia","Pantai Rombang, Melaka, Malaysia"
MMMC002,Melaka,Pantai Kundur,2.2491112,102.1379176,"Kampung Pantai Kundur, Bandaraya Melaka, Melaka Tengah, Melaka, 76400, Malaysia","Pantai Kundur, Melaka, Malaysia"
MMMC003,Melaka,Pantai Tanjung Bidara,2.3140936,102.0728181,"Pantai Pengkalan Balak, Pengkalan Balak, Alor Gajah, Melaka, Malaysia","Pantai Tanjung Bidara, Melaka, Malaysia"
MMMC004,Melaka,Teluk Gong,2.3502375,102.0499638,"Bukit Telok Gong, Kuala Sungai Baru, Alor Gajah, Melaka, 78200, Malaysia","Teluk Gong, Melaka, Malaysia"
MMMC005,Melaka,Pulau Melaka Point A1,,,,"Pulau Melaka Point A1, Malaysia"
MMMC006,Melaka,Pulau Melaka Point A2,,,,"Pulau Melaka Point A2, Malaysia"
MMMC007,Melaka,Pulau Melaka Point B1,,,,"Pulau Melaka Point B1, Malaysia"
MMMC008,Melaka,Pulau Melaka Point B2,,,,"Pulau Melaka Point B2, Malaysia"
MMMC009,Melaka,Pantai Klebang,2.2099789,102.2137403,"Jalan Pantai Klebang, Taman Klebang Jaya, Kampung Pokok Mangga, Bandaraya Melaka, Melaka Tengah, Melaka, 75200, Malaysia","Pantai Klebang, Melaka, Malaysia"
MMJC001,Johor,Tanjung Bin,1.3308581,103.5347257,"Stesen Janakuasa Tanjung Bin, Pontian, Johor, Malaysia","Tanjung Bin, Johor, Malaysia"
MMJC002,Johor,Pelabuhan Tanjung Pelepas,1.3552449,103.5542256,"Pelabuhan Tanjung Pelepas, Kampung Tanjong Pelepas, Iskandar Puteri, Johor Bahru, Johor, Malaysia","Pelabuhan Tanjung Pelepas, Johor, Malaysia"
MMJC003,Johor,Hadapan Jabatan Laut,5.8280769,102.5612359,"Pengkalan Hadapan Jabatan Taman Laut Malaysia Daerah Besut, 84, Kampung Seberang Kastam, Kuala Besut, Besut, Terengganu, 22300, Malaysia","Hadapan Jabatan Laut, Malaysia"
MMJC004,Johor,Pantai Stulang Laut,,,,"Pantai Stulang Laut, Malaysia"
MMJC005,Johor,Jeti Teluk Jawa,,,,"Jeti Teluk Jawa, Malaysia"
MMJC006,Johor,Pelabuhan Pasir Gudang,1.4390587,103.9015989,"Johor Port, Pasir Gudang, Johor Bahru, Johor, 81700, Malaysia","Pelabuhan Pasir Gudang, Johor, Malaysia"
MMJC007,Johor,Hadapan HSAJB,,,,"Hadapan HSAJB, Malaysia"
MMJC008,Johor,Pantai Lido,5.9407455,116.0493647,"Jalan Johor, Kota Kinabalu, Bahagian Pantai Barat, Sabah, 88808, Malaysia","Pantai Lido, Johor"
MMJC009,Johor,Pantai Teluk Mahkota,,,,"Pantai Teluk Mahkota, Malaysia"
MMJC010,Johor,Pantai Tanjung Leman,,,,"Pantai Tanjung Leman, Malaysia"
MMJC011,Johor,Pantai Sri Pantai,2.3927417,103.8520048,"Taman Sri Pantai, Kampung Sri Pantai, Mersing, Johor, Malaysia","Pantai Sri Pantai, Johor, Malaysia"
MMJC012,Johor,Tanjung Merak,1.3626676,104.110054,"Tanjung Merak, Tanjung Pengelih, Kota Tinggi, Johor, Malaysia","Tanjung Merak, Johor, Malaysia"
MMJC013,Johor,Tanjung Pengelih,1.367714,104.103142,"Tanjung Pengelih, Kota Tinggi, Johor, Malaysia","Tanjung Pengelih, Johor, Malaysia"
MMJC014,Johor,Pantai Tanjong Stapa,,,,"Pantai Tanjong Stapa, Malaysia"
MMJC015,Johor,Pantai Teluk Gorek,2.5733389,103.8152629,"Pantai Teluk Gorek, Kampong Tanjung Resang, Mersing, Johor, Malaysia","Pantai Teluk Gorek, Johor, Malaysia"
MMJC016,Johor,Pantai Air Papan,2.5207231,103.8318307,"Pantai Air Papan, Teluk Buih, Air Papan, Mersing, Johor, Malaysia","Pantai Air Papan, Johor"
MMJC017,Johor,Jeti Kukup,,,,"Jeti Kukup, Malaysia"
MMJC018,Johor,Pasir Gogok,1.4203906,104.1030128,"Kampung Pasir Gogok, Kota Tinggi, Johor, Malaysia","Pasir Gogok, Johor, Malaysia"
MMJC019,Johor,Tanjung Buai,1.4959968,104.0406254,"Tanjung Buai, Kota Tinggi, Johor, Malaysia","Tanjung Buai, Johor, Malaysia"
MMJC020,Johor,Pantai Desaru,1.550558,104.2609235,"Pantai Desaru, Desaru, Bandar Penawar, Kota Tinggi, Johor, Malaysia","Pantai Desaru, Johor, Malaysia"
MMJC021,Johor,Tanjung Sepang,1.380628,104.280204,"Tanjung Sepang, Kota Tinggi, Johor, Malaysia","Tanjung Sepang, Johor, Malaysia"
MMJC022,Johor,Tanjung Penyusup,,,,"Tanjung Penyusup, Malaysia"
MMJC023,Johor,Pantai Sungai Lurus,1.7278076,103.0284467,"Pantai Sungai Lurus, Jalan Parit Rasip, Senggarang, Batu Pahat, Johor, 83200, Malaysia","Pantai Sungai Lurus, Johor, Malaysia"
MMJC024,Johor,Punggur,1.9941799,102.633586,"Jalan Parit Punggur Tengah, Parit Bakar, Bukit Bakri, Muar, Johor, 84010, Malaysia","Punggur, Johor, Malaysia"
MMJC025,Johor,Pantai Penyabung,2.6474679,103.7493561,"Kampung Penyabung, Jalan Penyabong - Endau, Kampung Penyabong Pantai, Mersing, Johor, Malaysia",Pantai Penyabung
MMJC026,Johor,Tanjung Resang,2.5830919,103.8231402,"Tanjung Resang, Kampong Tanjung Resang, Mersing, Johor, Malaysia","Tanjung Resang, Johor, Malaysia"
MMJC027,Johor,Tanjung Balau,1.6130765,104.257987,"Tanjung Balau, Kota Tinggi, Johor, 80000, Malaysia","Tanjung Balau, Johor, Malaysia"
MMJC028,Johor,Batu Layar,1.4470479,104.295689,"Batu Layar, Jalan Kampong Punggai-Desaru, Kampung Punggai, Kota Tinggi, Johor, Malaysia","Batu Layar, Johor, Malaysia"
MMJC029,Johor,Tanjung Sengat,1.5455018,104.0423717,"To Tanjung Buai, Teluk Sengat, Kota Tinggi, Johor, 81940, Malaysia","Tanjung Sengat, Johor, Malaysia"
MMCC001,Pahang,Pantai Cherating (Club Med A),4.121152,103.3886881,"Pantai Cherating, Cherating, Kuantan, Pahang, Malaysia",Pantai Cherating
MMCC002,Pahang,Pantai Cherating (Club Med B),4.121152,103.3886881,"Pantai Cherating, Cherating, Kuantan, Pahang, Malaysia",Pantai Cherating
MMCC003,Pahang,Pantai Cherating (Legend A),4.121152,103.3886881,"Pantai Cherating, Cherating, Kuantan, Pahang, Malaysia",Pantai Cherating
MMCC004,Pahang,Pantai Cherating (Legend B),4.121152,103.3886881,"Pantai Cherating, Cherating, Kuantan, Pahang, Malaysia",Pantai Cherating
MMCC005,Pahang,Pantai Muhibbah Balok A,,,,"Pantai Muhibbah Balok A, Malaysia"
MMCC006,Pahang,Pantai Muhibbah Balok B,,,,"Pantai Muhibbah Balok B, Malaysia"
MMCC007,Pahang,Pantai Batu Hitam A,3.8892058,103.3663122,"Jalan Pantai Batu Hitam, Taman Batu Hitam, Kampung Sungai Karang Darat, Kuantan, Pahang, 26100, Malaysia","Pantai Batu Hitam A, Pahang, Malaysia"
MMCC008,Pahang,Pantai Batu Hitam B,3.8892058,103.3663122,"Jalan Pantai Batu Hitam, Taman Batu Hitam, Kampung Sungai Karang Darat, Kuantan, Pahang, 26100, Malaysia","Pantai Batu Hitam B, Pahang, Malaysia"
MMCC009,Pahang,Pantai Berserah A,,,,"Pantai Berserah A, Malaysia"
MMCC010,Pahang,Pantai Berserah B,,,,"Pantai Berserah B, Malaysia"
MMCC011,Pahang,Pantai Teluk Cempedak A,3.8047225,103.3673566,"Pantai Teluk Sisek, Teluk Cempedak, Kuantan, Pahang, Malaysia",Pantai Teluk Cempedak
MMCC012,Pahang,Pantai Teluk Cempedak B,3.8047225,103.3673566,"Pantai Teluk Sisek, Teluk Cempedak, Kuantan, Pahang, Malaysia",Pantai Teluk Cempedak
MMCC013,Pahang,Pantai Teluk Gelora A,,,,"Pantai Teluk Gelora A, Malaysia"
MMCC014,Pahang,Pantai Teluk Gelora B,,,,"Pantai Teluk Gelora B, Malaysia"
MMCC015,Pahang,Pantai Sepat A,3.7394424,103.3161286,"Jalan Pantai Sepat, Kuantan, Pahang, 26060, Malaysia","Pantai Sepat A, Pahang, Malaysia"
MMCC016,Pahang,Pantai Sepat B,3.7394424,103.3161286,"Jalan Pantai Sepat, Kuantan, Pahang, 26060, Malaysia","Pantai Sepat B, Pahang, Malaysia"
MMCC017,Pahang,Pantai Legenda A,,,,"Pantai Legenda A, Malaysia"
MMCC018,Pahang,Pantai Legenda B,,,,"Pantai Legenda B, Malaysia"
MMCC019,Pahang,Pantai Kuala Api-Api,,,,"Pantai Kuala Api-Api, Malaysia"
MMCC020,Pahang,Pantai Tanjung Batu,5.472798,100.2453564,"Pantai Batu Feringgi, Batu Feringgi, Timur Laut, George Town, Pulau Pinang, 11100, Malaysia","Pantai Tanjung Batu, Malaysia"
MMCC021,Pahang,Pantai Chendor,4.1768043,103.423273,"Pantai Chendor, Cendur, Kuantan, Pahang, Malaysia","Pantai Chendor, Pahang, Malaysia"
MMCC022,Pahang,Pantai Lanjut,,,,"Pantai Lanjut, Malaysia"
MMTC001,Terengganu,Pantai Batu Buruk,5.3125143,103.1611589,"Pantai Batu Buruk, Batu Buruk, Kuala Terengganu, Terengganu, Malaysia","Pantai Batu Buruk, Terengganu, Malaysia"
MMTC002,Terengganu,Pantai Bukit Keluang,5.8016581,102.6046306,"Pantai Bukit Keluang, Besut, Terengganu, Malaysia","Pantai Bukit Keluang, Terengganu, Malaysia"
MMTC003,Terengganu,Pantai Chendering,,,,"Pantai Chendering, Malaysia"
MMTC004,Terengganu,Pantai Rantau Abang,,,,"Pantai Rantau Abang, Malaysia"
MMTC005,Terengganu,KIPC Utara,,,,"KIPC Utara, Malaysia"
