station,state,area,lat,lon,match,query_used,precision
MMKC001,Kedah,Pantai Merdeka,5.6679342,100.3688798,"Pantai Merdeka, K14, Kampong Bukit Kechil, Kampung Bagan Ulu, Kuala Muda, Kedah, 08110, Malaysia","Pantai Merdeka, Kedah, Malaysia",geocoded
MMKC002,Kedah,Langkawi Island Resort,6.2757253,99.734134,"Royale Chenang Resort, 735c, Jalan Pantai Tengah, Pantai Tengah, Langkawi, Kedah, 07100, Malaysia",Langkawi Island Resort,geocoded
MMKC003,Kedah,Pantai Kok,6.364685,99.6834089,"Pantai Kok, Langkawi, Kedah, Malaysia","Pantai Kok, Kedah, Malaysia",geocoded
MMKC004,Kedah,Pantai Kuah,6.296145,99.8618787,"Pantai Beringin, Kuah, Langkawi, Kedah, Malaysia","Pantai Kuah, Kedah, Malaysia",geocoded
MMKC005,Kedah,Pantai Pasir Tengkorak,6.4306215,99.725943,Google Maps: Sandy Skulls Beach,"Pantai Pasir Tengkorak, Malaysia",geocoded
MMKC006,Kedah,Pantai Teluk Burau,6.3648692,99.6731387,Google Maps: Teluk Burau,"Pantai Teluk Burau, Malaysia",geocoded
MMKC007,Kedah,Pantai Teluk Nibong,6.3601023,99.7030568,"Pantai Teluk Nibong, Kuala Teriang, Langkawi, Kedah, Malaysia","Pantai Teluk Nibong, Kedah, Malaysia",geocoded
MMKC008,Kedah,Pantai Tengah,6.2814791,99.7304458,"Pantai Tengah, Langkawi, Kedah, Malaysia","Pantai Tengah, Kedah, Malaysia",geocoded
MMKC009,Kedah,Pantai Beras Basah,6.2249159,99.7160604,Google Maps: Pantai Beras Basah area,"Pantai Beras Basah, Malaysia",geocoded
MMPC001,P. Pinang,Gertak Sanggul,5.2848183,100.1941399,Google Maps: Gertak Sanggul (island),"Gertak Sanggul, Penang, Malaysia",geocoded
MMPC002,P. Pinang,Kawasan Perindustrian Bayan Lepas 1,5.308987,100.2832409,Google Maps: Bayan Lepas Free Industrial Zone (island),"Kawasan Perindustrian Bayan Lepas 1, Malaysia",geocoded
MMPC003,P. Pinang,Pantai Bersih,5.4447898,100.3789818,Google Maps: Pantai Bersih (mainland Perai),"Pantai Bersih, Penang, Malaysia",geocoded
MMPC004,P. Pinang,Pantai Miami,5.4779361,100.2680632,Google Maps: Miami Beach / Pantai Miami (island),"Pantai Miami, Penang, Malaysia",geocoded
MMPC005,P. Pinang,Pantai Pasir Panjang,5.2990405,100.1846266,Google Maps: Pantai Pasir Panjang (island),"Pantai Pasir Panjang, Penang, Malaysia",geocoded
MMPC006,P. Pinang,Batu Feringgi (Casuarina),5.4728306,100.2466205,Google Maps: Casuarina Beach Resort (island),"Batu Feringgi (Casuarina), Malaysia",geocoded
MMPC007,P. Pinang,Luar Pantai Teluk Bahang,5.4605907,100.2142058,Google Maps: Teluk Bahang area (island),"Luar Pantai Teluk Bahang, Malaysia",geocoded
MMPC008,P. Pinang,Persiaran Gurney,5.434655,100.3146159,Google Maps: Gurney Dr (island),"Persiaran Gurney, Penang, Malaysia",geocoded
MMPC009,P. Pinang,Rumah Pam Baru Perai,5.3422195,100.4292878,Google Maps: Perai area (mainland),"Rumah Pam Baru Perai, Malaysia",geocoded
MMPC010,P. Pinang,Rumah Pam Lama Perai,5.3798718,100.3887654,Google Maps: Perai area (mainland),"Rumah Pam Lama Perai, Malaysia",geocoded
MMPC011,P. Pinang,Selat PP Selatan (Jelutong),5.3960464,100.317182,Google Maps: Jelutong strait (island),"Selat PP Selatan (Jelutong), Malaysia",geocoded
MMPC012,P. Pinang,Tanjung Bungah,5.465118,100.2822098,Google Maps: Tanjung Bungah (island),"Tanjung Bungah, Penang, Malaysia",geocoded
MMPC013,P. Pinang,Tanjung Bungah 2,5.4577252,100.2815577,"Tenby Schools Penang, 2, Lintang Lembah Permai 1, Mukim 18, Timur Laut, George Town, Pulau Pinang, 11200, Malaysia","Tanjung Bungah 2, Penang, Malaysia",geocoded
MMPC014,P. Pinang,Batu Maung 2,5.283818,100.2900359,Google Maps: Batu Maung (island),"Batu Maung 2, Penang, Malaysia",geocoded
MMPC015,P. Pinang,Pantai Sungai Batu Ferringhi 3,5.4726785,100.2458335,Google Maps: Batu Ferringhi area (island),"Pantai Sungai Batu Ferringhi 3, Malaysia",geocoded
MMPC016,P. Pinang,Pantai Sungai Batu Ferringhi 2,5.4726785,100.2458335,Google Maps: Batu Ferringhi area (island),"Pantai Sungai Batu Ferringhi 2, Malaysia",geocoded
MMPC017,P. Pinang,Pantai Sungai Batu Ferringhi 1,5.4726785,100.2458335,Google Maps: Batu Ferringhi area (island),"Pantai Sungai Batu Ferringhi 1, Malaysia",geocoded
MMAC001,Perak,Pantai Pasir Bogak,4.2103744,100.5571362,"Pantai Pasir Bogak, Pulau Pangkor, Manjung, Perak, 32300, Malaysia","Pantai Pasir Bogak, Perak, Malaysia",geocoded
MMAC002,Perak,Pantai Teluk Dalam,4.2525144,100.5461023,"Pantai Puteri Dewi (private), Teluk Dalam, Manjung, Perak, 32300, Malaysia","Pantai Teluk Dalam, Perak, Malaysia",geocoded
MMAC003,Perak,Pantai Teluk Batik,4.1869863,100.6079114,"Pantai Teluk Batik, Lumut, Manjung, Perak, Malaysia","Pantai Teluk Batik, Perak, Malaysia",geocoded
MMAC004,Perak,Pantai Tanjung Batu,4.2835574,100.6722835,Google Maps: Tanjung Batu area,"Pantai Tanjung Batu, Malaysia",geocoded
MMAC005,Perak,Pantai Teluk Rubiah,4.188066,100.6065589,Google Maps: substitute: Pantai Teluk Batik (nearby),"Pantai Teluk Rubiah, Malaysia",geocoded
MMAC006,Perak,Pantai Damai Laut,4.2652439,100.5913318,Google Maps: Pantai Damai Laut,"Pantai Damai Laut, Malaysia",geocoded
MMAC007,Perak,Pantai Teluk Senangin,4.3049791,100.5781114,"Pantai Teluk Senangin, Lumut, Manjung, Perak, 32200, Malaysia","Pantai Teluk Senangin, Perak, Malaysia",geocoded
MMAC008,Perak,Pantai Pasir Panjang,4.3478606,100.5737287,Google Maps: Pantai Pasir Panjang Lumut,"Pantai Pasir Panjang, Malaysia",geocoded
MMBC001,Selangor,Pantai Bagan Lalang,2.6061365,101.687697,"Pantai Bagan Lalang, Bagan Lalang, Sepang, Selangor, Malaysia","Pantai Bagan Lalang, Selangor, Malaysia",geocoded
MMBC002,Selangor,Pantai Morib,2.7541244,101.4408708,"Pantai Morib, Morib, Banting, Kuala Langat, Selangor, Malaysia","Pantai Morib, Selangor, Malaysia",geocoded
MMBC003,Selangor,Selat Pulau Babi,3.0166667,101.2666667,Google Maps: Pulau Babi,"Selat Pulau Babi, Malaysia",geocoded
MMBC004,Selangor,Selat Klang Utara,3.0091287,101.3736914,"Kawasan Perindustrian Selat Klang Utara, Pelabuhan Klang, Bandaraya Klang, Klang, Selangor, Malaysia","Selat Klang Utara, Selangor, Malaysia",geocoded
MMBC005,Selangor,Pantai Remis,3.2001649,101.3057717,"Pantai Remis, Sungai Sembilang, Kuala Selangor, Selangor, Malaysia","Pantai Remis, Selangor, Malaysia",geocoded
MMBC006,Selangor,Pantai Klanang,2.7896752,101.410954,Google Maps: Pantai Kelanang,"Pantai Klanang, Malaysia",geocoded
MMNC001,N. Sembilan,Bagan Pinang,2.5036076,101.8366923,"Hotel Seri Malaysia, Jalan Pantai, Taman Eastern, Si Rusa, Port Dickson, Negeri Sembilan, 71050, Malaysia","Bagan Pinang, Negeri Sembilan, Malaysia",geocoded
MMNC002,N. Sembilan,Telok Sinting,2.4790558,101.8702805,Google Maps: Telok Sinting area,"Telok Sinting, Malaysia",geocoded
MMNC003,N. Sembilan,Port Dickson Bandar,2.5609034,101.8098007,"Pos Malaysia, Tesco Lukut, Pusat Perniagaan Lukut Prima, Bandar Dataran Segar, Port Dickson, Negeri Sembilan, 71010, Malaysia","Port Dickson Bandar, Negeri Sembilan, Malaysia",geocoded
MMNC004,N. Sembilan,Port Dickson Batu 4,2.5262491,101.8106156,"Port Dickson, Negeri Sembilan, 71000, Malaysia","Port Dickson Batu 4, Negeri Sembilan, Malaysia",geocoded
MMNC005,N. Sembilan,Port Dickson Batu 5,2.5262491,101.8106156,"Port Dickson, Negeri Sembilan, 71000, Malaysia","Port Dickson Batu 5, Negeri Sembilan, Malaysia",geocoded
MMNC006,N. Sembilan,Port Dickson Batu 6,2.5262491,101.8106156,"Port Dickson, Negeri Sembilan, 71000, Malaysia","Port Dickson Batu 6, Negeri Sembilan, Malaysia",geocoded
MMNC007,N. Sembilan,Port Dickson Batu 7,2.5262491,101.8106156,"Port Dickson, Negeri Sembilan, 71000, Malaysia","Port Dickson Batu 7, Negeri Sembilan, Malaysia",geocoded
MMNC008,N. Sembilan,Port Dickson Batu 8,2.5262491,101.8106156,"Port Dickson, Negeri Sembilan, 71000, Malaysia","Port Dickson Batu 8, Negeri Sembilan, Malaysia",geocoded
MMNC009,N. Sembilan,Port Dickson Batu 10,2.4206838,101.8663432,"Port Dickson Methodist Centre, Jalan Pantai, Batu 10, Kampung Segenting, Port Dickson, Negeri Sembilan, 71050, Malaysia","Port Dickson Batu 10, Negeri Sembilan, Malaysia",geocoded
MMNC010,N. Sembilan,Port Dickson Janakuasa TNB,2.5410912,101.8038231,Google Maps: Port Dickson power station area,"Port Dickson Janakuasa TNB, Malaysia",geocoded
MMNC011,N. Sembilan,Telok Pelanduk,2.4188245,101.8925176,"Akademi Imigresen Malaysia, Jalan Kampung Telok Pelandok, Taman Green View, Teluk Pelanduk, Port Dickson, Negeri Sembilan, 71050, Malaysia","Telok Pelanduk, Negeri Sembilan, Malaysia",geocoded
MMNC012,N. Sembilan,Pantai Cermin,2.4162147,101.8605396,"Pantai Cermin, Teluk Pelanduk, Port Dickson, Negeri Sembilan, Malaysia","Pantai Cermin, Negeri Sembilan, Malaysia",geocoded
MMNC013,N. Sembilan,Pantai Teluk Kemang,2.4535662,101.8554244,"Pantai Teluk Kemang, Teluk Kemang, Port Dickson, Negeri Sembilan, Malaysia","Pantai Teluk Kemang, Negeri Sembilan, Malaysia",geocoded
MMNC014,N. Sembilan,Pantai Seri Purnama,2.4436069,101.8559043,Google Maps: Pantai Purnama,"Pantai Seri Purnama, Malaysia",geocoded
MMMC001,Melaka,Pantai Rombang,2.2364946,102.1450594,"Masjid Pantai Rombang, Jalan Tanjung Kling, Pantai Puteri, Tanjung Kling, Melaka Tengah, Melaka, 76400, Malaysia","Pantai Rombang, Melaka, Malaysia",geocoded
MMMC002,Melaka,Pantai Kundur,2.2491112,102.1379176,"Kampung Pantai Kundur, Bandaraya Melaka, Melaka Tengah, Melaka, 76400, Malaysia","Pantai Kundur, Melaka, Malaysia",geocoded
MMMC003,Melaka,Pantai Tanjung Bidara,2.3140936,102.0728181,"Pantai Pengkalan Balak, Pengkalan Balak, Alor Gajah, Melaka, Malaysia","Pantai Tanjung Bidara, Melaka, Malaysia",geocoded
MMMC004,Melaka,Teluk Gong,2.3502375,102.0499638,"Bukit Telok Gong, Kuala Sungai Baru, Alor Gajah, Melaka, 78200, Malaysia","Teluk Gong, Melaka, Malaysia",geocoded
MMMC005,Melaka,Pulau Melaka Point A1,2.1796865,102.2512155,Google Maps: Pulau Melaka / Malacca Island,"Pulau Melaka Point A1, Malaysia",geocoded
MMMC006,Melaka,Pulau Melaka Point A2,2.1796865,102.2512155,Google Maps: Pulau Melaka / Malacca Island,"Pulau Melaka Point A2, Malaysia",geocoded
MMMC007,Melaka,Pulau Melaka Point B1,2.1796865,102.2512155,Google Maps: Pulau Melaka / Malacca Island,"Pulau Melaka Point B1, Malaysia",geocoded
MMMC008,Melaka,Pulau Melaka Point B2,2.1796865,102.2512155,Google Maps: Pulau Melaka / Malacca Island,"Pulau Melaka Point B2, Malaysia",geocoded
MMMC009,Melaka,Pantai Klebang,2.2099789,102.2137403,"Jalan Pantai Klebang, Taman Klebang Jaya, Kampung Pokok Mangga, Bandaraya Melaka, Melaka Tengah, Melaka, 75200, Malaysia","Pantai Klebang, Melaka, Malaysia",geocoded
MMJC001,Johor,Tanjung Bin,1.3308581,103.5347257,"Stesen Janakuasa Tanjung Bin, Pontian, Johor, Malaysia","Tanjung Bin, Johor, Malaysia",geocoded
MMJC002,Johor,Pelabuhan Tanjung Pelepas,1.3552449,103.5542256,"Pelabuhan Tanjung Pelepas, Kampung Tanjong Pelepas, Iskandar Puteri, Johor Bahru, Johor, Malaysia","Pelabuhan Tanjung Pelepas, Johor, Malaysia",geocoded
MMJC003,Johor,Hadapan Jabatan Laut,1.4109039,103.7206629,Google Maps: Johor Bahru marine dept area,"Hadapan Jabatan Laut, Malaysia",geocoded
MMJC004,Johor,Pantai Stulang Laut,1.4689049,103.7807463,Google Maps: Pantai Stulang Laut,"Pantai Stulang Laut, Malaysia",geocoded
MMJC005,Johor,Jeti Teluk Jawa,1.478247,103.845852,Google Maps: Kampung Teluk Jawa,"Jeti Teluk Jawa, Malaysia",geocoded
MMJC006,Johor,Pelabuhan Pasir Gudang,1.4390587,103.9015989,"Johor Port, Pasir Gudang, Johor Bahru, Johor, 81700, Malaysia","Pelabuhan Pasir Gudang, Johor, Malaysia",geocoded
MMJC007,Johor,Hadapan HSAJB,1.4584962,103.7460342,Google Maps: Hospital Sultanah Aminah JB,"Hadapan HSAJB, Malaysia",geocoded
MMJC008,Johor,Pantai Lido,1.4644922,103.7255228,"Google Maps: Lido Beach, Johor Bahru (corrected from a Kota Kinabalu street-name false match)","Pantai Lido, Johor",geocoded
MMJC009,Johor,Pantai Teluk Mahkota,1.8982291,104.1039804,Google Maps: Pantai Teluk Mahkota (Mersing),"Pantai Teluk Mahkota, Malaysia",geocoded
MMJC010,Johor,Pantai Tanjung Leman,2.14211,104.0087,Google Maps: Pantai Tanjung Leman,"Pantai Tanjung Leman, Malaysia",geocoded
MMJC011,Johor,Pantai Sri Pantai,2.3927417,103.8520048,"Taman Sri Pantai, Kampung Sri Pantai, Mersing, Johor, Malaysia","Pantai Sri Pantai, Johor, Malaysia",geocoded
MMJC012,Johor,Tanjung Merak,1.3626676,104.110054,"Tanjung Merak, Tanjung Pengelih, Kota Tinggi, Johor, Malaysia","Tanjung Merak, Johor, Malaysia",geocoded
MMJC013,Johor,Tanjung Pengelih,1.367714,104.103142,"Tanjung Pengelih, Kota Tinggi, Johor, Malaysia","Tanjung Pengelih, Johor, Malaysia",geocoded
MMJC014,Johor,Pantai Tanjong Stapa,1.6085218,104.1531048,Google Maps: substitute: Tanjong Surat (nearby),"Pantai Tanjong Stapa, Malaysia",geocoded
MMJC015,Johor,Pantai Teluk Gorek,2.5733389,103.8152629,"Pantai Teluk Gorek, Kampong Tanjung Resang, Mersing, Johor, Malaysia","Pantai Teluk Gorek, Johor, Malaysia",geocoded
MMJC016,Johor,Pantai Air Papan,2.5207231,103.8318307,"Pantai Air Papan, Teluk Buih, Air Papan, Mersing, Johor, Malaysia","Pantai Air Papan, Johor",geocoded
MMJC017,Johor,Jeti Kukup,1.3255801,103.4412418,Google Maps: Jeti Kukup,"Jeti Kukup, Malaysia",geocoded
MMJC018,Johor,Pasir Gogok,1.4203906,104.1030128,"Kampung Pasir Gogok, Kota Tinggi, Johor, Malaysia","Pasir Gogok, Johor, Malaysia",geocoded
MMJC019,Johor,Tanjung Buai,1.4959968,104.0406254,"Tanjung Buai, Kota Tinggi, Johor, Malaysia","Tanjung Buai, Johor, Malaysia",geocoded
MMJC020,Johor,Pantai Desaru,1.550558,104.2609235,"Pantai Desaru, Desaru, Bandar Penawar, Kota Tinggi, Johor, Malaysia","Pantai Desaru, Johor, Malaysia",geocoded
MMJC021,Johor,Tanjung Sepang,1.380628,104.280204,"Tanjung Sepang, Kota Tinggi, Johor, Malaysia","Tanjung Sepang, Johor, Malaysia",geocoded
MMJC022,Johor,Tanjung Penyusup,1.378148,104.2818829,Google Maps: Tanjung Penyusup area,"Tanjung Penyusup, Malaysia",geocoded
MMJC023,Johor,Pantai Sungai Lurus,1.7278076,103.0284467,"Pantai Sungai Lurus, Jalan Parit Rasip, Senggarang, Batu Pahat, Johor, 83200, Malaysia","Pantai Sungai Lurus, Johor, Malaysia",geocoded
MMJC024,Johor,Punggur,1.9941799,102.633586,"Jalan Parit Punggur Tengah, Parit Bakar, Bukit Bakri, Muar, Johor, 84010, Malaysia","Punggur, Johor, Malaysia",geocoded
MMJC025,Johor,Pantai Penyabung,2.6474679,103.7493561,"Kampung Penyabung, Jalan Penyabong - Endau, Kampung Penyabong Pantai, Mersing, Johor, Malaysia",Pantai Penyabung,geocoded
MMJC026,Johor,Tanjung Resang,2.5830919,103.8231402,"Tanjung Resang, Kampong Tanjung Resang, Mersing, Johor, Malaysia","Tanjung Resang, Johor, Malaysia",geocoded
MMJC027,Johor,Tanjung Balau,1.6130765,104.257987,"Tanjung Balau, Kota Tinggi, Johor, 80000, Malaysia","Tanjung Balau, Johor, Malaysia",geocoded
MMJC028,Johor,Batu Layar,1.4470479,104.295689,"Batu Layar, Jalan Kampong Punggai-Desaru, Kampung Punggai, Kota Tinggi, Johor, Malaysia","Batu Layar, Johor, Malaysia",geocoded
MMJC029,Johor,Tanjung Sengat,1.5455018,104.0423717,"To Tanjung Buai, Teluk Sengat, Kota Tinggi, Johor, 81940, Malaysia","Tanjung Sengat, Johor, Malaysia",geocoded
MMCC001,Pahang,Pantai Cherating (Club Med A),4.121152,103.3886881,"Pantai Cherating, Cherating, Kuantan, Pahang, Malaysia",Pantai Cherating,geocoded
