origin,destination,year,visitors,kind,origin_canon,destination_canon
Johor,Johor,2011,1686.1,actual,Johor,Johor
Johor,Kedah,2011,193.7,actual,Johor,Kedah
Johor,Kelantan,2011,77.4,actual,Johor,Kelantan
Johor,Melaka,2011,298.6,actual,Johor,Malacca
Johor,Negeri Sembilan,2011,339.3,actual,Johor,Negeri Sembilan
Johor,Pahang,2011,162.8,actual,Johor,Pahang
Johor,Pulau Pinang,2011,53.0,actual,Johor,Penang
Johor,Perak,2011,172.9,actual,Johor,Perak
Johor,Perlis,2011,48.1,actual,Johor,Perlis
Johor,Selangor,2011,195.9,actual,Johor,Selangor
Johor,Terengganu,2011,59.2,actual,Johor,Terengganu
Johor,Sabah,2011,19.9,actual,Johor,Sabah
Johor,Sarawak,2011,12.2,actual,Johor,Sarawak
Johor,W.P. Kuala Lumpur,2011,465.1,actual,Johor,Kuala Lumpur
Johor,W.P. Labuan,2011,15.1,actual,Johor,Labuan
Johor,W.P. Putrajaya,2011,39.5,actual,Johor,Putrajaya
Kedah,Johor,2011,71.7,actual,Kedah,Johor
Kedah,Kedah,2011,1609.4,actual,Kedah,Kedah
Kedah,Kelantan,2011,95.4,actual,Kedah,Kelantan
Kedah,Melaka,2011,84.4,actual,Kedah,Malacca
Kedah,Negeri Sembilan,2011,103.0,actual,Kedah,Negeri Sembilan
Kedah,Pahang,2011,96.4,actual,Kedah,Pahang
Kedah,Pulau Pinang,2011,443.6,actual,Kedah,Penang
Kedah,Perak,2011,403.6,actual,Kedah,Perak
Kedah,Perlis,2011,158.1,actual,Kedah,Perlis
Kedah,Selangor,2011,251.1,actual,Kedah,Selangor
Kedah,Terengganu,2011,112.5,actual,Kedah,Terengganu
Kedah,Sabah,2011,0.0,actual,Kedah,Sabah
Kedah,Sarawak,2011,3.5,actual,Kedah,Sarawak
Kedah,W.P. Kuala Lumpur,2011,175.1,actual,Kedah,Kuala Lumpur
Kedah,W.P. Labuan,2011,2.6,actual,Kedah,Labuan
Kedah,W.P. Putrajaya,2011,12.3,actual,Kedah,Putrajaya
Kelantan,Johor,2011,54.2,actual,Kelantan,Johor
Kelantan,Kedah,2011,380.7,actual,Kelantan,Kedah
Kelantan,Kelantan,2011,705.8,actual,Kelantan,Kelantan
Kelantan,Melaka,2011,18.5,actual,Kelantan,Malacca
Kelantan,Negeri Sembilan,2011,89.6,actual,Kelantan,Negeri Sembilan
Kelantan,Pahang,2011,87.4,actual,Kelantan,Pahang
Kelantan,Pulau Pinang,2011,63.6,actual,Kelantan,Penang
Kelantan,Perak,2011,45.9,actual,Kelantan,Perak
Kelantan,Perlis,2011,73.3,actual,Kelantan,Perlis
Kelantan,Selangor,2011,283.8,actual,Kelantan,Selangor
Kelantan,Terengganu,2011,242.5,actual,Kelantan,Terengganu
Kelantan,Sabah,2011,0.0,actual,Kelantan,Sabah
Kelantan,Sarawak,2011,0.0,actual,Kelantan,Sarawak
Kelantan,W.P. Kuala Lumpur,2011,82.3,actual,Kelantan,Kuala Lumpur
Kelantan,W.P. Labuan,2011,4.6,actual,Kelantan,Labuan
Kelantan,W.P. Putrajaya,2011,35.1,actual,Kelantan,Putrajaya
Melaka,Johor,2011,323.2,actual,Malacca,Johor
Melaka,Kedah,2011,32.9,actual,Malacca,Kedah
Melaka,Kelantan,2011,26.3,actual,Malacca,Kelantan
Melaka,Melaka,2011,341.1,actual,Malacca,Malacca
Melaka,Negeri Sembilan,2011,221.4,actual,Malacca,Negeri Sembilan
Melaka,Pahang,2011,74.0,actual,Malacca,Pahang
Melaka,Pulau Pinang,2011,14.5,actual,Malacca,Penang
Melaka,Perak,2011,24.9,actual,Malacca,Perak
Melaka,Perlis,2011,50.2,actual,Malacca,Perlis
Melaka,Selangor,2011,154.8,actual,Malacca,Selangor
Melaka,Terengganu,2011,26.3,actual,Malacca,Terengganu
Melaka,Sabah,2011,9.3,actual,Malacca,Sabah
Melaka,Sarawak,2011,0.0,actual,Malacca,Sarawak
Melaka,W.P. Kuala Lumpur,2011,136.0,actual,Malacca,Kuala Lumpur
Melaka,W.P. Labuan,2011,0.5,actual,Malacca,Labuan
Melaka,W.P. Putrajaya,2011,6.3,actual,Malacca,Putrajaya
Negeri Sembilan,Johor,2011,265.3,actual,Negeri Sembilan,Johor
Negeri Sembilan,Kedah,2011,71.8,actual,Negeri Sembilan,Kedah
Negeri Sembilan,Kelantan,2011,76.1,actual,Negeri Sembilan,Kelantan
Negeri Sembilan,Melaka,2011,246.5,actual,Negeri Sembilan,Malacca
Negeri Sembilan,Negeri Sembilan,2011,467.0,actual,Negeri Sembilan,Negeri Sembilan
Negeri Sembilan,Pahang,2011,97.6,actual,Negeri Sembilan,Pahang
Negeri Sembilan,Pulau Pinang,2011,91.8,actual,Negeri Sembilan,Penang
Negeri Sembilan,Perak,2011,112.0,actual,Negeri Sembilan,Perak
Negeri Sembilan,Perlis,2011,32.5,actual,Negeri Sembilan,Perlis
Negeri Sembilan,Selangor,2011,133.5,actual,Negeri Sembilan,Selangor
Negeri Sembilan,Terengganu,2011,43.5,actual,Negeri Sembilan,Terengganu
Negeri Sembilan,Sabah,2011,1.4,actual,Negeri Sembilan,Sabah
Negeri Sembilan,Sarawak,2011,1.4,actual,Negeri Sembilan,Sarawak
Negeri Sembilan,W.P. Kuala Lumpur,2011,146.8,actual,Negeri Sembilan,Kuala Lumpur
Negeri Sembilan,W.P. Labuan,2011,0.6,actual,Negeri Sembilan,Labuan
Negeri Sembilan,W.P. Putrajaya,2011,0.0,actual,Negeri Sembilan,Putrajaya
Pahang,Johor,2011,200.4,actual,Pahang,Johor
Pahang,Kedah,2011,134.3,actual,Pahang,Kedah
Pahang,Kelantan,2011,204.4,actual,Pahang,Kelantan
