year,visitors,kind
2011,22865.85,actual
2012,24691.45,actual
2013,27203.1,actual
2014,30202.2,actual
2015,31364.75407164303,actual
2016,33010.79547152135,actual
2017,35261.565317,actual
2018,39119.56157849998,actual
2019,42357.84878512163,actual
2020,23129.358,actual
2021,7441.4145,actual
2022,32527.9875,actual
2023,39779.712,actual
2024,46722.6615,actual
2025,53262.65276514101,actual
2026,116963.21258951093,forecast_ensemble_total
2027,129053.51107238066,forecast_ensemble_total
2028,140508.4203284792,forecast_ensemble_total
